ID,Session_timestamp,Level_timestamp,Event_type,Event,Details,epoch_time,Ruleset,win_or_quit,goals,impasses,time_offset
234,0:32:16:350,0:0:13:816,input,left,,1651523712350.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:16:516,0:0:13:983,change,update,baba:10:2:2,1651523712516.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,166
234,0:32:16:516,0:0:13:983,input,left,,1651523712516.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:16:683,0:0:14:150,change,update,baba:9:2:2,1651523712683.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,167
234,0:32:16:683,0:0:14:150,input,left,,1651523712683.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:17:216,0:0:14:683,change,update,baba:9:2:3,1651523713216.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,533
234,0:32:17:216,0:0:14:683,change,update,baba:9:3:3,1651523713216.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:17:216,0:0:14:683,input,down,,1651523713216.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:17:383,0:0:14:850,change,update,baba:9:4:3,1651523713383.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,167
234,0:32:17:383,0:0:14:850,input,down,,1651523713383.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:18:033,0:0:15:500,change,update,baba:9:5:3,1651523714033.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,650
234,0:32:18:033,0:0:15:500,input,down,,1651523714033.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:18:716,0:0:16:183,change,update,baba:9:5:2,1651523714716.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,683
234,0:32:18:716,0:0:16:183,change,update,baba:8:5:2,1651523714716.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:18:716,0:0:16:183,input,left,,1651523714716.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:19:116,0:0:16:583,change,update,baba:7:5:2,1651523715116.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,400
234,0:32:19:116,0:0:16:583,input,left,,1651523715116.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:19:283,0:0:16:750,change,update,baba:6:5:2,1651523715283.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,167
234,0:32:19:283,0:0:16:750,input,left,,1651523715283.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:22:066,0:0:19:533,change,update,baba:6:5:0,1651523718066.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,2783
234,0:32:22:066,0:0:19:533,change,update,baba:7:5:0,1651523718066.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:22:066,0:0:19:533,input,right,,1651523718066.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:22:400,0:0:19:866,change,update,baba:8:5:0,1651523718400.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,334
234,0:32:22:400,0:0:19:866,input,right,,1651523718400.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:22:900,0:0:20:366,change,update,baba:8:5:3,1651523718900.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,500
234,0:32:22:900,0:0:20:366,change,update,baba:8:6:3,1651523718900.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:22:900,0:0:20:366,input,down,,1651523718900.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
